Category,State/UT-wise,Total Amount (All installments)
State,Andaman and Nicobar Islands,65536000
State,Andhra Pradesh,19531776000
State,Bihar,29732054000
State,Chandigarh,1738000
State,Chhattisgarh,10986034000
State,Dadra and Nagar Haveli,21704000
State,Daman and Diu,7834000
State,Delhi,55014000
State,Goa,36506000
State,Gujarat,23246024000
State,Haryana,7646168000
State,Himachal Pradesh,3694886000
State,Jammu and Kashmir,4406888000
State,Jharkhand,7754548000
State,Karnataka,20936464000
State,Kerala,13924034000
State,Ladakh,30292000
State,Lakshdweep,8068000
State,Madhya Pradesh,34820240000
State,Maharashtra,45188656000
State,Odisha,9278538000
State,Puducherry,46316000
State,Punjab,8180038000
State,Rajasthan,27679448000
State,Tamil Nadu,18889452000
State,Telangana,14894872000
State,Uttar Pradesh,97695882000
State,Uttarakhand,3454690000
State,West Bengal,NA
State,Total (1),402213700000
North East State,Arunachal Pradesh,399730000
North East State,Assam,3757210000
North East State,Manipur,1604852000
North East State,Meghalaya,703264000
North East State,Mizoram,462012000
North East State,Nagaland,837256000
North East State,Sikkim,46076000
North East State,Tripura,838110000
North East State,Total (2),8648510000
Grand Total (1+2),Grand Total (1+2),410862210000
